Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43296,,Spot Purchased Day Care For Adults (BUILD ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (BUILD ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,BUILD,,,94202 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43297,,Spot Purchased Day Care For Adults (Bungay House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Bungay House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,SATURN HEALTHCARE LTD,,,1114768 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43298,,Spot Purchased Day Care For Adults (Burlingham House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Burlingham House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,APS CARE LIMITED,,,350992 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43299,,Spot Purchased Day Care For Adults (Camphill Communities),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Camphill Communities),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,CAMPHILL COMMUNITIES EAST ANGLIA,gb/02152319,,79567 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43301,,Spot Purchased Day Care For Adults (Centre '81),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Centre '81),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,531567 ,Estimated,,CENTRE 81 LIMITED,03027092,,67387 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43302,,Spot Purchased Day Care For Adults (Clarence Lodge),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Clarence Lodge),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,CLARENCE LODGE (GT YARMOUTH) LIMITED,06957663,,245383 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43303,,Spot Purchased Day Care For Adults (Clinks Care Farm Limited),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Clinks Care Farm Limited),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,48574 ,Estimated,,CLINKS CARE FARM LTD,gb/06966867,,297620 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43304,,Spot Purchased Day Care For Adults (Close (The)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Close (The)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,NORFOLK CARE LIMITED,05358284,,104155 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43305,,Spot Purchased Day Care For Adults (Coach House (The)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Coach House (The)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,SBDP1 LIMITED,06741959,,191737 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43306,,Spot Purchased Day Care For Adults (Community Action Norwich ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Community Action Norwich ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,COMMUNITY ACTION NORWICH,,,67625 ,,Yes,,PART B SERVICES,,,Other,,,,,
