category,date_calculated,sum,YYYY,exmonth
Lifting equipment and accessories,2012-03-01,9199.71,2012,3
Lifting equipment and accessories,2011-08-01,8350.77,2011,8
Lifting equipment and accessories,2011-01-01,11678.74,2011,1
Lifting equipment and accessories,2012-06-01,13945.33,2012,6
Lifting equipment and accessories,2011-04-01,13078.88,2011,4
Lifting equipment and accessories,2012-07-01,4269.86,2012,7
Lifting equipment and accessories,2011-11-01,3402.8,2011,11
Lifting equipment and accessories,2013-01-01,7446.01,2013,1
Lifting equipment and accessories,2012-11-01,6217.81,2012,11
Lifting equipment and accessories,2012-01-01,7787.54,2012,1
Lifting equipment and accessories,2014-04-01,8670.8,2014,4
Lifting equipment and accessories,2012-08-01,7223.1,2012,8
Lifting equipment and accessories,2011-02-01,3406.27,2011,2
Lifting equipment and accessories,2012-05-01,4700,2012,5
Lifting equipment and accessories,2011-05-01,114,2011,5
Lifting equipment and accessories,2011-10-01,13173.82,2011,10
Lifting equipment and accessories,2012-10-01,5179,2012,10
Lifting equipment and accessories,2012-12-01,2920.24,2012,12
Lifting equipment and accessories,2012-04-01,8931.74,2012,4
Machine installation and maintenance and repair services,2014-12-01,4259.04,2014,12
Machine installation and maintenance and repair services,2013-02-01,1000,2013,2
Machine installation and maintenance and repair services,2014-01-01,44796.53,2014,1
Machine installation and maintenance and repair services,2011-03-01,1289.29,2011,3
Machine installation and maintenance and repair services,2011-06-01,7,2011,6
Machine installation and maintenance and repair services,2013-12-01,7301.49,2013,12
Machine installation and maintenance and repair services,2013-03-01,9908.84,2013,3
Machine installation and maintenance and repair services,2012-03-01,1315.07,2012,3
Machine installation and maintenance and repair services,2011-08-01,1434,2011,8
Machine installation and maintenance and repair services,2011-04-01,27083.5,2011,4
Machine installation and maintenance and repair services,2014-03-01,501.92,2014,3
Machine installation and maintenance and repair services,2014-10-01,15816.46,2014,10
Machine installation and maintenance and repair services,2014-02-01,6352.97,2014,2
Machine installation and maintenance and repair services,2014-04-01,2844.22,2014,4
Machine installation and maintenance and repair services,2012-08-01,1548.31,2012,8
Machine installation and maintenance and repair services,2012-04-01,1326.75,2012,4
Machine installation and maintenance and repair services,2014-11-01,17803.71,2014,11
Machinery and transport equipment manufacture,2011-10-01,828.8,2011,10
Machinery and transport equipment manufacture,2014-11-01,559.6,2014,11
Machinery and transport equipment manufacture,2011-08-01,627,2011,8
Machining and processing services,2012-07-01,900,2012,7
Machining services,2014-11-01,4808.4,2014,11
Machining services,2011-10-01,5352.92,2011,10
Machining services,2012-10-01,1589.6,2012,10
Machining services,2012-12-01,2076.31,2012,12
Machining services,2012-04-01,956.55,2012,4
Machining services,2012-01-01,3549.2,2012,1
Machining services,2012-08-01,5789.79,2012,8
Machining services,2012-07-01,2276.78,2012,7
Machining services,2013-01-01,19986.04,2013,1
Machining services,2012-11-01,7241.27,2012,11
Machining services,2014-10-01,6883.74,2014,10
Machining services,2012-06-01,1500,2012,6
Machining services,2011-04-01,852.25,2011,4
Machining services,2012-03-01,1300,2012,3
Machining services,2011-08-01,8506.65,2011,8
Machining services,2013-03-01,9594.79,2013,3
Machining services,2011-06-01,8085.8,2011,6
Machining services,2013-02-01,2720.65,2013,2
Machining services,2011-07-01,11007.8,2011,7
Machining services,2011-05-01,8557.84,2011,5
Management advisory services,2011-04-01,113134.31,2011,4
Management advisory services,2014-07-01,23686.21,2014,7
Management advisory services,2014-06-01,32568.95,2014,6
Management advisory services,2012-06-01,67347.22,2012,6
Management advisory services,2011-01-01,30182.86,2011,1
Management advisory services,2014-03-01,41917.04,2014,3
Management advisory services,2014-10-01,2224998.37,2014,10
Management advisory services,2012-11-01,142702.72,2012,11
Management advisory services,2013-01-01,65468.23,2013,1
Management advisory services,2012-07-01,180009.75,2012,7
Management advisory services,2011-11-01,92383.85,2011,11
Management advisory services,2012-05-01,64671.4,2012,5
Management advisory services,2014-02-01,17899.71,2014,2
Management advisory services,2012-08-01,84063.83,2012,8
Management advisory services,2014-04-01,28546.1,2014,4
Management advisory services,2013-10-01,99298.79,2013,10
Management advisory services,2011-02-01,115419.69,2011,2
Management advisory services,2012-01-01,76181.29,2012,1
Management advisory services,2012-12-01,110170.33,2012,12
Management advisory services,2012-04-01,62640.53,2012,4
Management advisory services,2011-10-01,79269.47,2011,10
Management advisory services,2012-10-01,474767.58,2012,10
